3	8	10	12	24	28	31	34	45	48	49	50	54	61	62	66	69
2	12	21	26	28	30	34	38	45	47	48	51	54	58	60	62	67
7	9	13	15	16	17	18	25	41	43	45	47	49	53	65	67	69
2	3	6	9	12	18	19	20	21	28	31	34	35	40	50	56	58
1	11	14	17	21	22	23	26	29	31	34	36	38	48	55	66	69
5	8	10	11	12	13	15	17	21	22	43	45	55	56	61	65	70
1	3	4	5	8	12	19	26	28	33	35	52	54	59	61	65	69
6	12	15	19	22	23	27	29	32	34	35	46	48	54	56	57	70
12	16	19	21	24	31	34	38	41	43	44	45	46	50	53	61	63
6	9	13	15	20	25	35	40	44	47	49	52	53	55	61	64	66
6	7	19	20	23	29	30	40	46	56	58	59	62	63	66	68	70
4	6	12	14	17	20	21	30	34	36	38	43	48	65	66	67	68
4	5	8	11	12	14	15	18	21	22	32	35	41	43	44	52	53
4	5	6	8	10	18	19	21	40	47	51	58	59	60	62	67	70
4	10	14	17	20	24	27	28	36	45	51	53	61	65	66	67	68
1	2	3	4	15	16	17	19	25	26	34	44	49	51	56	66	68
2	6	13	15	22	29	30	32	34	35	37	40	42	52	54	61	65
3	6	7	10	11	13	19	23	26	38	39	46	57	59	63	65	68
5	6	10	18	21	25	28	34	35	37	38	40	45	47	53	66	68
